Theater Name,Review date,Review URL,Author name,Local Guide,Star rating,Review content,
Violet Crown,3/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUM5cGZMZV93RRAB!2m1!1s0x0 ,Eric Donarski,TRUE,5,"I've never had a bad experience at VC. I'm always really happy when they partner up with the VA Film Festival since it's a great, cozy theater for watching movies.",
Violet Crown,2/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURkaXVma1RBEAE!2m1!1s0x0 ,Mable Franklin,TRUE,5,Comfortable seats and the staff was friendly and accommodating,
Violet Crown,1/15/2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUROa3FMMVF3EAE!2m1!1s0x0 ,zoe menon,TRUE,5,wow!,
Violet Crown,12/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUQxczV1Y0d3EAE!2m1!1s0x0 ,Henry Laufer,FALSE,5,I would like it if you guys could play the ployoffs in your theaters,
Violet Crown,12/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUMxLWYtTWxRRRAB!2m1!1s0x0 ,Jeff Liskey,FALSE,5,Great place for indie movies!,
Violet Crown,12/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUMxOHQzdFN3EAE!2m1!1s0x0 ,Marcelino Bautista Díaz,FALSE,5,I just want to know if you can pay cash or only with a card?,
Violet Crown,12/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUMxOHVDcU1nEAE!2m1!1s0x0 ,Tosya Kugler,TRUE,4,great place,
Violet Crown,11/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNWbEpxbGd3RRAB!2m1!1s0x0 ,Aaron El,TRUE,5,"Great food, friendly staff, great movie and quality set up. Appreciate the fact that this theater is in town!",
Violet Crown,11/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNsZy1lUXZBRRAB!2m1!1s0x0 ,Lydia Holman,FALSE,5,"Great theater set up, friendly staff, lots of reasonably priced food/beer/wine options, and lovely interiors. Very clean bathrooms too. My husband and I visited for the first time yesterday, I bought the tickets online and it was a very easy process to do so. They had a lot of available showtimes for the movie we were looking to see. We even checked out the attached bar beforehand for a drink. Overall a great experience, looking forward to coming back.",
Violet Crown,11/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNGbWF5UWRnEAE!2m1!1s0x0 ,Sarah Lanzman,TRUE,5,Very comfortable seats.,
Violet Crown,11/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUQ1OGVDbUNnEAE!2m1!1s0x0 ,Patty Wingard,TRUE,5,Never been in a theatre with a 2nd story. Nice young man at the entrance helped us with directions.  Seat very comfortable and they serve liquor!,
Violet Crown,10/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURwZy1mS3BRRRAB!2m1!1s0x0 ,Scott,TRUE,2,Dirty theater with the most rickety seats I've ever heard. The cup holders had mold in them and every time someone moved in their seats its the loudest creaking.Plus theater 2 is right next to the station where all the employees chat. You can hear it through the whole movie.,
Violet Crown,10/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNwaGJTM0p3EAE!2m1!1s0x0 ,Arjun Mohan,TRUE,5,,
